#  | 4FGL Name          | SPT Name              | SPT RA    | SPT Dec    | S95     | S150    | S220    | z       | RASS Name         | SUMSS Name            | AllWISE Name
0  | 4FGL J0538.8-4405  | *SPT-S J053850-4405.1 | 84.710495 | -44.085197 | 5958.9 | 4843.0 | 3905.6 | 0.89400 | *J053850.2-440504 | *SUMSS J053850-440510 | J053850.36-440508.9
1  | 4FGL J2329.3-4955  | *SPT-S J232920-4955.6 | 352.33704 | -49.927555 | 1064.1 | 522.1  | 426.4  | 0.51800 | -                 | *SUMSS J232920-495540 | J232920.87-495540.6
2  | 4FGL J0449.4-4350  | *SPT-S J044924-4350.0 | 72.351730 | -43.833607 | 127.9  | 119.3  | 108.7  | 0.10700 | *J044924.2-435002 | *SUMSS J044924-435011 | J044924.69-435008.9
3  | 4FGL J2056.2-4714  | *SPT-S J205616-4714.8 | 314.06787 | -47.247147 | 1769.5 | 1424.9 | 1199.5 | 1.48900 | *J205615.8-471446 | *SUMSS J205616-471448 | J205616.36-471447.6
4  | 4FGL J0210.7-5101  | *SPT-S J021045-5101.0 | 32.689522 | -51.017540 | 1868.2 | 1504.4 | 1196.5 | 0.99900 | *J021046.8-510055 | *SUMSS J021046-510102 | J021046.20-510101.8
5  | 4FGL J0532.0-4827  | *SPT-S J053158-4827.6 | 82.994888 | -48.461178 | 450.9  | 400.3  | 353.0  | -       | *J053159.9-482751 | *SUMSS J053158-482737 | J053158.62-482735.9
6  | 4FGL J2139.4-4235  | *SPT-S J213924-4235.4 | 324.85229 | -42.590229 | 165.1  | 154.0  | 139.1  | -       | -                 | *SUMSS J213924-423519 | J213924.17-423520.3
7  | 4FGL J0245.9-4650  | *SPT-S J024600-4651.2 | 41.500134 | -46.853729 | 1219.1 | 1036.5 | 826.5  | 1.38500 | *J024600.6-465124 | *SUMSS J024559-465118 | J024600.11-465117.1
8  | 4FGL J0334.2-4008  | *SPT-S J033413-4008.4 | 53.556190 | -40.140488 | 1352.0 | 1068.5 | 835.5  | 1.44500 | *J033414.1-400813 | *SUMSS J033413-400826 | J033413.65-400825.4
9  | 4FGL J2009.4-4849  | *SPT-S J200925-4849.7 | 302.35428 | -48.828568 | 548.1  | 457.8  | 392.1  | 0.07100 | *J200925.6-484953 | *SUMSS J200925-484953 | J200925.40-484953.6
10 | 4FGL J2141.7-6410  | *SPT-S J214145-6411.1 | 325.43875 | -64.186646 | 193.6  | 157.3  | 144.3  | -       | -                 | *SUMSS J214146-641112 | J214146.44-641114.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214135-641035  | -
11 | 4FGL J0309.9-6058  | *SPT-S J030956-6058.6 | 47.484085 | -60.976933 | 706.6  | 563.7  | 447.2  | 1.48000 | *J030955.6-605827 | *SUMSS J030956-605839 | J030956.09-605839.1
12 | 4FGL J2241.7-5236  | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J224140-523631  | -
13 | 4FGL J0228.3-5547  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J022821.58-554603.2
14 | 4FGL J0516.7-6207  | *SPT-S J051644-6207.0 | 79.186699 | -62.117321 | 664.4  | 510.1  | 415.6  | 1.30000 | -                 | *SUMSS J051644-620704 | J051644.92-620705.4
15 | 4FGL J2328.3-4036  | *SPT-S J232818-4035.1 | 352.07855 | -40.586262 | 444.3  | 387.7  | 324.5  | -       | -                 | *SUMSS J232819-403509 | J232819.27-403509.8
16 | 4FGL J0526.2-4830  | *SPT-S J052616-4830.6 | 81.569954 | -48.511463 | 326.6  | 236.1  | 174.9  | 1.30000 | *J052613.2-483000 | *SUMSS J052616-483037 | J052616.67-483036.7
17 | 4FGL J0209.3-5228  | *SPT-S J020921-5229.3 | 32.341240 | -52.489685 | 26.6   | 24.0   | 14.8   | -       | *J020922.2-522920 | *SUMSS J020921-522923 | J020921.63-522922.8
18 | 4FGL J0543.9-5531  | *SPT-S J054357-5532.1 | 85.990608 | -55.535080 | 15.6   | 17.3   | 14.7   | -       | *J054357.3-553206 | *SUMSS J054356-553203 | J054357.22-553207.3
19 | 4FGL J0437.2-4715  | -                     | -         | -          | -       | -       | -       | -       | *J043714.5-471503 | SUMSS J043715-471508  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J043723-471540  | -
20 | 4FGL J0051.2-6242  | *SPT-S J005115-6241.9 | 12.815569 | -62.699783 | 13.2   | 11.3   | 6.3    | -       | *J005117.7-624154 | *SUMSS J005116-624205 | J005116.64-624204.3
21 | 4FGL J0030.3-4224  | *SPT-S J003017-4224.8 | 7.5739112 | -42.414581 | 423.8  | 347.6  | 261.9  | 0.49500 | *J003014.8-422350 | *SUMSS J003017-422447 | J003017.49-422446.5
22 | 4FGL J0455.7-4617  | *SPT-S J045550-4615.9 | 73.962265 | -46.265617 | 1458.1 | 1043.0 | 748.1  | 0.85280 | *J045549.5-461604 | *SUMSS J045550-461559 | J045550.77-461558.7
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J045555-461626 | -
23 | 4FGL J2126.3-4605  | *SPT-S J212630-4605.6 | 321.62808 | -46.094440 | 774.8  | 560.1  | 420.8  | 1.67000 | -                 | *SUMSS J212630-460547 | J212630.71-460547.9
24 | *4FGL J2039.5-5617 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
25 | 4FGL J2103.8-6233  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J210338.39-623225.8
26 | 4FGL J0143.7-5846  | *SPT-S J014347-5845.7 | 25.947495 | -58.762005 | 13.2   | 11.7   | 9.8    | -       | -                 | *SUMSS J014347-584550 | J014347.42-584551.4
27 | 4FGL J2052.2-5533  | *SPT-S J205213-5533.1 | 313.05603 | -55.553028 | 48.1   | 36.6   | 18.9   | -       | -                 | *SUMSS J205213-553310 | J205213.67-553309.9
28 | 4FGL J2135.3-5006  | *SPT-S J213521-5006.7 | 323.83752 | -50.113300 | 146.2  | 104.6  | 80.5   | 2.18100 | -                 | *SUMSS J213520-500652 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213510-500620  | -
29 | 4FGL J0101.1-6422  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
30 | 4FGL J0236.8-6136  | *SPT-S J023652-6136.1 | 39.218769 | -61.601936 | 359.6  | 313.8  | 273.4  | 0.46500 | *J023653.4-613620 | *SUMSS J023653-613616 | J023653.27-613615.3
31 | 4FGL J0433.6-6030  | *SPT-S J043333-6030.0 | 68.388000 | -60.500866 | 313.9  | 266.9  | 222.2  | -       | *J043333.5-603012 | *SUMSS J043333-603014 | -
32 | 4FGL J2324.7-4041  | *SPT-S J232444-4040.8 | 351.18491 | -40.680691 | 42.8   | 35.0   | 36.0   | 0.17359 | *J232444.9-404053 | *SUMSS J232444-404043 | J232444.67-404049.4
33 | 4FGL J2325.4-4800  | *SPT-S J232527-4800.2 | 351.36389 | -48.004650 | 222.0  | 188.8  | 160.5  | 0.22100 | *J232527.5-480024 | *SUMSS J232526-480018 | J232526.87-480017.2
34 | 4FGL J0303.6-6211  | *SPT-S J030350-6211.4 | 45.961548 | -62.190815 | 1125.6 | 847.4  | 670.3  | 1.35100 | *J030351.0-621127 | *SUMSS J030350-621125 | J030350.63-621125.5
35 | 4FGL J2235.3-4836  | *SPT-S J223513-4835.9 | 338.80453 | -48.599216 | 689.2  | 534.3  | 420.7  | 0.50581 | *J223512.8-483550 | *SUMSS J223513-483558 | J223513.24-483558.8
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J223518-483530 | -
36 | 4FGL J0507.7-6104  | *SPT-S J050754-6104.6 | 76.976692 | -61.078003 | 328.2  | 249.5  | 190.5  | 1.08900 | -                 | *SUMSS J050754-610443 | J050754.68-610443.1
37 | 4FGL J0133.1-5201  | *SPT-S J013305-5200.1 | 23.271059 | -52.001778 | 292.0  | 204.5  | 149.8  | 0.02000 | *J013308.2-520014 | *SUMSS J013305-520005 | J013305.76-520003.9
38 | 4FGL J0343.2-6444  | *SPT-S J034320-6442.8 | 55.833981 | -64.713509 | 27.6   | 20.9   | 23.2   | -       | -                 | *SUMSS J034320-644256 | J034320.52-644256.0
39 | 4FGL J0602.8-4019  | *SPT-S J060250-4018.7 | 90.712463 | -40.312592 | 29.2   | 26.3   | 23.5   | -       | *J060251.9-401835 | *SUMSS J060251-401845 | J060251.29-401845.3
40 | 4FGL J0424.9-5331  | *SPT-S J042504-5331.8 | 66.266884 | -53.531349 | 152.1  | 128.1  | 107.6  | -       | *J042506.2-533150 | *SUMSS J042504-533158 | J042504.27-533158.2
